Designator,Mid X,Mid Y,Rotation,Layer
C1,144.272,-98.933,90.0,top
C2,133.096,-106.045,180.0,top
C3,132.715,-95.758,0.0,top
C4,137.4775,-106.045,0.0,top
D1,141.097,-101.219,270.0,top
J1,139.065,-92.202,90.0,top
J3,142.885,-89.662,90.0,top
Q1,127.889,-100.965,0.0,top
Q2,127.889,-95.758,0.0,top
R1,114.808,-106.426,0.0,top
R2,133.985,-84.963,0.0,top
R3,128.016,-84.836,0.0,top
R4,128.651,-106.045,0.0,top
R5,128.016,-91.44,180.0,top
R6,128.016,-88.138,180.0,top
U$1,146.05,-95.25,0.0,top
U1,117.348,-94.869,90.0,top
U2,150.749,-99.314,0.0,top
U3,134.62,-100.33,90.0,top
